Bag Number,Site,Date,Locality,Latitude,Longitude,Collector,Unique ID,Method(nocolor),Method,Warming,Plant Species,Order,Family,Genus,Species,Sex,Notes,Location
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1766,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1767,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:177,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
202,"Alexandra Fiord, Nunavut",2012-07-13,Willow,78.875,-75.799,S. Robinson,UBC:GH:1773,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,F,NA,NA
202,"Alexandra Fiord, Nunavut",2012-07-13,Willow,78.875,-75.799,S. Robinson,UBC:GH:1775,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1779,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:178,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,"Keyed out to Drymeia, but very similar to Phaonia M",NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1782,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1784,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1785,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1786,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1789,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:179,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1790,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1791,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1793,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1794,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1798,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.2
93,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:18,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:180,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1800,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1801,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1802,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1804,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1806,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:181,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1810,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1811,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1812,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1813,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1814,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1816,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1817,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:182,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,"Keyed out to Drymeia, but very similar to Phaonia M",NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1820,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1821,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.2
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1823,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1824,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,"Keyed out to Drymeia, but very similar to Phaonia M",NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1825,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1826,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1827,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1828,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1829,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:183,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1830,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1832,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1833,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1834,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1838,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1839,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:184,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1841,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1842,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1843,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1844,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1845,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1846,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1848,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.3
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:185,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
156,"Alexandra Fiord, Nunavut",2012-07-09,Willow,78.875,-75.799,S. Robinson,UBC:GH:1851,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
156,"Alexandra Fiord, Nunavut",2012-07-09,Willow,78.875,-75.799,S. Robinson,UBC:GH:1853,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
156,"Alexandra Fiord, Nunavut",2012-07-09,Willow,78.875,-75.799,S. Robinson,UBC:GH:1854,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1857,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1858,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1859,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:186,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1861,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1864,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:187,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1870,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1871,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1877,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1878,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1879,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:188,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:189,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
231,"Alexandra Fiord, Nunavut",2012-07-15,Willow,78.875,-75.799,S. Robinson,UBC:GH:1890,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,F,NA,NA
93,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:19,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:190,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
229,"Alexandra Fiord, Nunavut",2012-07-15,Willow,78.875,-75.799,D. Curley,UBC:GH:1902,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,F,NA,NA
138,"Alexandra Fiord, Nunavut",2012-07-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:1908,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
138,"Alexandra Fiord, Nunavut",2012-07-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:1909,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:191,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
138,"Alexandra Fiord, Nunavut",2012-07-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:1910,Netting,Netting ,Control,Papaver radicatum,Diptera,Muscidae,Phaonia,NA,F,NA,Spencer Entomological Collection
185,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1913,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
185,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1915,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
185,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1916,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
185,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1917,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:192,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1922,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1923,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1924,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1925,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1927,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1928,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1929,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:193,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1930,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1931,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1933,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1934,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1935,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1936,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1937,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1939,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:194,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1940,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1941,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1942,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1943,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1944,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1945,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1947,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:195,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1951,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1953,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1957,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.1
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1959,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:196,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.3
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1962,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1964,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1965,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1966,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1967,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1969,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,90.2
92,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:197,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Muscidae,Phaonia,NA,M,NA,109.1
167,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1970,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Muscidae,Phaonia,NA,F,NA,NA
